文件名,1小时热度,2小时热度,3小时热度,4小时热度,6小时热度,9小时热度,总热度,总影响范围,紧急程度4小时,敏感程度,话题倾向,严重系数1小时,严重系数2小时,严重系数3小时,严重程度3小时
虐猫考生,364,364,364,364,364,364,364,小,不紧急,2,-1,0.75,0.75,0.75,重度偏离
虐猫考生说不是很懂网络舆论暂不回应,561360,561360,561360,561360,561360,1105007,1137384,超大,不紧急,2,-1,0.375,0.375,0.375,中度偏离
西藏定日县地震已致126人遇难,31,36,614,958,1530,1914,3947,小,不紧急,2,-1,0.875,0.916666667,0.972222222,特重度偏离
诺米,4251,4251,4251,4251,4251,4251,4251,小,不紧急,0,0,0,0,0,轻度偏离
谢帝谢帝我要迪士尼,1124,1124,1124,1124,1124,10523,90111,中,不紧急,0,0,0,0,0,轻度偏离
谢谢与凤行,6974,6974,6974,6974,6974,6974,6974,小,不紧急,0,0,0,0,0,轻度偏离
贾玲减肥后刘维痛失代表作,1533,1533,1533,1533,1533,1533,1533,小,不紧急,0,0,0,0,0,轻度偏离
赵露思猫眼妆,4550,4550,4550,4550,4550,4550,4550,小,不紧急,0,0,0,0,0,轻度偏离
赵露思造型师,106611,108029,108049,144307,455337,515724,1038687,超大,非常紧急,0,0,0,0.083333333,0.125,轻度偏离
过了30岁备孕要注意哪些事,9993,9993,9993,9993,9993,9993,9993,小,不紧急,0,0,0,0,0,轻度偏离
迈巴赫成都来福士连续碾压多人,1408,1408,1408,1408,1408,1408,1408,小,不紧急,2,-1,0.75,0.75,0.75,重度偏离
这4种食物是尿毒症的加速器,187,200,200,200,261,2407,2407,小,不紧急,0,-1,0.305555556,0.282608696,0.282608696,轻度偏离
追她呀 她旺你,671,671,671,671,671,671,671,小,不紧急,0,1,0.25,0.25,0.25,轻度偏离
追风者编剧 牛,13898,13898,13898,13898,13898,13898,13898,中,不紧急,0,0,0,0,0,轻度偏离
选的刮刮卡被店员卖给别人错失100万,92436,92872,92872,92872,92872,92874,94248,中,不紧急,0,-1,0.143939394,0.12375,0.12375,轻度偏离
那英歌王,16804,17059,17368,18114,21245,35316,88042,中,不紧急,0,0,0.17948718,0.18,0.178571429,轻度偏离
郝蕾说看纪凌尘演戏太难受了,51322,51334,51348,101048,101429,101629,102166,大,非常紧急,0,-1,0.5,0.375,0.416666667,中度偏离
郭晶晶舒客宝贝品牌代言人,153,153,153,153,153,153,153,小,不紧急,0,1,0.196,0.196,0.196,轻度偏离
陈奕迅西安尾场,3144,3144,3144,3144,3144,3144,3144,小,不紧急,0,0,0.25,0.25,0.25,轻度偏离
雷军 雷神,715,715,715,715,715,715,715,小,不紧急,0,0,0,0,0,轻度偏离
霸王茶姬发文致歉,11,11,11,11,11,92369,94661,中,不紧急,0,-1,0.25,0.25,0.25,轻度偏离
青岛代孕,4617,4662,4843,5208,7346,7369,22295,中,不紧急,2,0,0.358208955,0.360759494,0.427419355,中度偏离
韦雪拉黑秦奋,1159,1206,1272,1277,1277,4446,8638,小,不紧急,0,0,0,0,0,轻度偏离
韩国第一夫人消失100天非常不寻常,641,641,641,641,641,641,641,小,不紧急,3,0,0,0,0,轻度偏离
高考,5568,5568,5568,5568,5568,5568,5568,小,不紧急,0,0,0.017482518,0.017482518,0.017482518,轻度偏离
黄圣依杨子直播事件6人被刑拘,1400,1400,1400,1400,1400,1400,1400,小,不紧急,2,-1,0.75,0.75,0.75,重度偏离
黑红星期四,14963,33700,33701,33701,33701,33701,33701,中,不紧急,0,0,0.281976744,0.273809524,0.27195946,轻度偏离
